,miss_perc,K,n_samples,cv_r2,test_r2
1,0.1,30.0,100.0,-0.4149472661214194,-0.11
2,0.1,30.0,100.0,-0.032987957044647784,-0.22
3,0.1,30.0,100.0,-0.17205396857314972,-0.04
4,0.1,30.0,100.0,-0.3445362256278506,-0.01
5,0.1,30.0,100.0,-0.2263333295145508,-0.15
6,0.1,30.0,100.0,-0.1264824989410676,-0.02
7,0.1,30.0,100.0,0.06820023783741735,0.01
8,0.1,30.0,100.0,-0.05211321391398984,-0.05
9,0.1,30.0,100.0,-0.11673039886373497,-0.09
10,0.1,30.0,100.0,-0.31798704586600307,-0.03
11,0.3,30.0,100.0,-0.1746335527470892,0.16
12,0.3,30.0,100.0,0.41757894888236136,0.2
13,0.3,30.0,100.0,0.44965665819152534,0.45
14,0.3,30.0,100.0,0.6919465727648555,0.62
15,0.3,30.0,100.0,-0.16773290966617718,-0.13
16,0.3,30.0,100.0,0.3941544242177756,0.41
17,0.3,30.0,100.0,0.34919859177349244,0.31
18,0.3,30.0,100.0,0.2734462714950414,0.34
19,0.3,30.0,100.0,0.118389478781631,0.1
20,0.3,30.0,100.0,0.4977673732976912,0.57
21,0.5,30.0,100.0,0.3904266062356572,0.6
22,0.5,30.0,100.0,0.6964973327811955,0.49
23,0.5,30.0,100.0,0.41413271697755094,0.6
24,0.5,30.0,100.0,0.5582686449029537,0.78
25,0.5,30.0,100.0,0.3006958616348287,0.5
26,0.5,30.0,100.0,0.5977846053799677,0.43
27,0.5,30.0,100.0,0.5468718421543158,0.41
28,0.5,30.0,100.0,0.738787784625879,0.66
29,0.5,30.0,100.0,0.7149424115733858,0.59
30,0.5,30.0,100.0,0.5351195751881244,0.69
31,0.1,30.0,300.0,-0.0029423806439539566,-0.04
32,0.1,30.0,300.0,-0.043462133458922116,-0.05
33,0.1,30.0,300.0,-0.07299130715637729,-0.0
34,0.1,30.0,300.0,-0.06782209170670632,-0.05
35,0.1,30.0,300.0,-0.03993352308736538,-0.0
36,0.1,30.0,300.0,-0.03715491934513766,-0.0
37,0.1,30.0,300.0,-0.01765317443094223,-0.0
38,0.1,30.0,300.0,0.007666005254440389,-0.11
39,0.1,30.0,300.0,-0.04662737990276704,-0.01
40,0.1,30.0,300.0,-0.009803863946843539,-0.0
41,0.3,30.0,300.0,0.0036209041431368937,-0.02
42,0.3,30.0,300.0,-0.06376477547304105,-0.02
43,0.3,30.0,300.0,0.3175074003317462,0.41
44,0.3,30.0,300.0,0.1634128731002916,0.19
45,0.3,30.0,300.0,-0.05358239833928202,-0.0
46,0.3,30.0,300.0,-0.019031243719730685,-0.01
47,0.3,30.0,300.0,-0.034691160945908,-0.0
48,0.3,30.0,300.0,0.5235395542614721,0.5
49,0.3,30.0,300.0,0.10489556990451261,0.14
50,0.3,30.0,300.0,0.018801032529077187,0.1
51,0.5,30.0,300.0,0.26506704090348204,0.34
52,0.5,30.0,300.0,0.425422061699056,0.4
53,0.5,30.0,300.0,0.11011316770423725,0.22
54,0.5,30.0,300.0,0.4412784011511861,0.5
55,0.5,30.0,300.0,0.2713584430099605,0.4
56,0.5,30.0,300.0,0.03310250876091412,0.16
57,0.5,30.0,300.0,0.24743743796628842,0.35
58,0.5,30.0,300.0,0.08510600240538398,0.05
59,0.5,30.0,300.0,0.5564817587544766,0.58
60,0.5,30.0,300.0,0.250537977659382,0.36
61,0.1,30.0,1000.0,-0.008638574065899985,-0.0
62,0.1,30.0,1000.0,0.00840737359238497,-0.02
63,0.1,30.0,1000.0,-0.01628602901670444,-0.01
64,0.1,30.0,1000.0,-0.00311915771018243,-0.01
65,0.1,30.0,1000.0,-0.006688857636133227,-0.0
66,0.1,30.0,1000.0,-0.0052814277596398675,-0.01
67,0.1,30.0,1000.0,-0.0024212490123282303,-0.0
68,0.1,30.0,1000.0,-0.006537773703913352,-0.03
69,0.1,30.0,1000.0,0.005854464852954888,-0.07
70,0.1,30.0,1000.0,0.00613123724181317,-0.01
71,0.3,30.0,1000.0,-0.009771699894188402,-0.0
72,0.3,30.0,1000.0,0.033940627332534314,0.02
73,0.3,30.0,1000.0,0.03558565650068144,0.03
74,0.3,30.0,1000.0,0.0015064310353017918,-0.03
75,0.3,30.0,1000.0,0.10801752728082425,0.08
76,0.3,30.0,1000.0,-0.002184845510561151,0.0
77,0.3,30.0,1000.0,0.0019463565915049052,0.01
78,0.3,30.0,1000.0,0.01343009434453497,-0.01
79,0.3,30.0,1000.0,0.040986621317859684,0.01
80,0.3,30.0,1000.0,0.01762541311233019,-0.02
81,0.5,30.0,1000.0,0.1316189399432624,0.16
82,0.5,30.0,1000.0,0.24355392741630927,0.25
83,0.5,30.0,1000.0,0.354260270147297,0.3
84,0.5,30.0,1000.0,0.1981738585875787,0.14
85,0.5,30.0,1000.0,0.27945109710957927,0.31
86,0.5,30.0,1000.0,0.12304729272864956,0.13
87,0.5,30.0,1000.0,0.1595970163388876,0.19
88,0.5,30.0,1000.0,0.21418427895645586,0.15
89,0.5,30.0,1000.0,0.3905787800659605,0.38
90,0.5,30.0,1000.0,0.14494504408538464,0.16
