,miss_perc,K,n_samples,cv_r2,test_r2,seed
1,0.1,30.0,100.0,-0.4230836347010358,-0.41,0.0
2,0.1,30.0,100.0,-0.4238417548471342,-0.34,1.0
3,0.1,30.0,100.0,-0.1258151327918697,-0.09,2.0
4,0.1,30.0,100.0,-0.5012546224131714,0.06,3.0
5,0.1,30.0,100.0,-0.3942849438282434,-0.22,4.0
6,0.1,30.0,100.0,-0.03541978740464622,-0.11,5.0
7,0.1,30.0,100.0,0.07749823114291714,0.04,6.0
8,0.1,30.0,100.0,-0.2904181155742481,-0.21,7.0
9,0.1,30.0,100.0,-0.23537100834104824,-0.2,8.0
10,0.1,30.0,100.0,-0.4334837457071809,-0.16,9.0
11,0.3,30.0,100.0,-0.3683536099402134,0.2,0.0
12,0.3,30.0,100.0,0.11800218692501038,-0.05,1.0
13,0.3,30.0,100.0,0.15852822230006589,-0.02,2.0
14,0.3,30.0,100.0,0.09944144607024599,0.42,3.0
15,0.3,30.0,100.0,-0.26443646613185845,-0.06,4.0
16,0.3,30.0,100.0,0.07240873997846287,0.14,5.0
17,0.3,30.0,100.0,0.021210363827383706,0.06,6.0
18,0.3,30.0,100.0,-0.014234653460242663,0.12,7.0
19,0.3,30.0,100.0,-0.056844698135113704,-0.06,8.0
20,0.3,30.0,100.0,-0.04458811187083904,0.07,9.0
21,0.5,30.0,100.0,-0.13517920977259984,0.21,0.0
22,0.5,30.0,100.0,0.4785385941388718,0.23,1.0
23,0.5,30.0,100.0,0.03680528310625242,0.13,2.0
24,0.5,30.0,100.0,0.23852534279559823,0.43,3.0
25,0.5,30.0,100.0,-0.29454428058817556,0.05,4.0
26,0.5,30.0,100.0,0.1850873463072474,0.25,5.0
27,0.5,30.0,100.0,0.15567386515484674,0.1,6.0
28,0.5,30.0,100.0,0.4042020902490582,0.4,7.0
29,0.5,30.0,100.0,0.3509636472058382,0.21,8.0
30,0.5,30.0,100.0,0.09754760652968397,0.22,9.0
31,0.1,30.0,300.0,0.056313340158820877,-0.09,0.0
32,0.1,30.0,300.0,-0.20682922417040017,-0.16,1.0
33,0.1,30.0,300.0,-0.11366389283006062,-0.0,2.0
34,0.1,30.0,300.0,-0.1283168541611049,-0.19,3.0
35,0.1,30.0,300.0,-0.05166247247646534,-0.13,4.0
36,0.1,30.0,300.0,-0.1239430202363307,-0.07,5.0
37,0.1,30.0,300.0,-0.013061394723428554,0.03,6.0
38,0.1,30.0,300.0,-0.049152049566956804,-0.12,7.0
39,0.1,30.0,300.0,-0.10114587816822089,-0.05,8.0
40,0.1,30.0,300.0,-0.02851122188291715,0.04,9.0
41,0.3,30.0,300.0,-0.06503141666979387,-0.03,0.0
42,0.3,30.0,300.0,-0.18684119772245583,-0.06,1.0
43,0.3,30.0,300.0,0.02036777318934959,0.08,2.0
44,0.3,30.0,300.0,0.02086426671361996,0.06,3.0
45,0.3,30.0,300.0,-0.12950831589149386,-0.02,4.0
46,0.3,30.0,300.0,-0.13490232867710622,-0.06,5.0
47,0.3,30.0,300.0,-0.07640819425230316,-0.0,6.0
48,0.3,30.0,300.0,0.1708220586641108,0.09,7.0
49,0.3,30.0,300.0,0.05912168138469147,0.02,8.0
50,0.3,30.0,300.0,0.001415445252191061,0.01,9.0
51,0.5,30.0,300.0,0.11145239856772102,0.19,0.0
52,0.5,30.0,300.0,0.1811465214678275,0.15,1.0
53,0.5,30.0,300.0,-0.022215289208808175,0.15,2.0
54,0.5,30.0,300.0,0.18361690059462143,0.26,3.0
55,0.5,30.0,300.0,0.14792153844272354,0.3,4.0
56,0.5,30.0,300.0,0.022477340748124085,0.11,5.0
57,0.5,30.0,300.0,0.11305210707161195,0.18,6.0
58,0.5,30.0,300.0,0.03245739631615248,-0.02,7.0
59,0.5,30.0,300.0,0.20553598237470774,0.26,8.0
60,0.5,30.0,300.0,0.05043782160881154,0.18,9.0
61,0.1,30.0,1000.0,-0.032235276817047166,-0.02,0.0
62,0.1,30.0,1000.0,-0.0043244029027802,-0.04,1.0
63,0.1,30.0,1000.0,0.002253707408790584,-0.05,2.0
64,0.1,30.0,1000.0,-0.01941405231143776,-0.06,3.0
65,0.1,30.0,1000.0,-0.008566937842017498,-0.03,4.0
66,0.1,30.0,1000.0,-0.04225803278414384,-0.04,5.0
67,0.1,30.0,1000.0,-0.03375170755827543,-0.02,6.0
68,0.1,30.0,1000.0,-0.029216278377264326,-0.05,7.0
69,0.1,30.0,1000.0,0.015916382239797834,-0.08,8.0
70,0.1,30.0,1000.0,0.013361786944293708,-0.05,9.0
71,0.3,30.0,1000.0,0.01305447201310055,-0.06,0.0
72,0.3,30.0,1000.0,0.03206392867295223,0.01,1.0
73,0.3,30.0,1000.0,0.028601669272923756,0.03,2.0
74,0.3,30.0,1000.0,0.0015474977069137364,-0.04,3.0
75,0.3,30.0,1000.0,0.0823702962452435,0.05,4.0
76,0.3,30.0,1000.0,-0.02003717992091545,-0.04,5.0
77,0.3,30.0,1000.0,0.008857332075521907,0.01,6.0
78,0.3,30.0,1000.0,0.014841997937085405,-0.02,7.0
79,0.3,30.0,1000.0,0.04267383874323969,0.01,8.0
80,0.3,30.0,1000.0,0.027165228517101105,-0.01,9.0
81,0.5,30.0,1000.0,0.11162459411659284,0.09,0.0
82,0.5,30.0,1000.0,0.17881790178052526,0.2,1.0
83,0.5,30.0,1000.0,0.2170951871233357,0.24,2.0
84,0.5,30.0,1000.0,0.15170375886167758,0.13,3.0
85,0.5,30.0,1000.0,0.19380346351688274,0.22,4.0
86,0.5,30.0,1000.0,0.07709863367024501,0.1,5.0
87,0.5,30.0,1000.0,0.13245501075311872,0.18,6.0
88,0.5,30.0,1000.0,0.16599620214788322,0.1,7.0
89,0.5,30.0,1000.0,0.2905590457285846,0.3,8.0
90,0.5,30.0,1000.0,0.15142489088428857,0.13,9.0
